word_count,character_count,average_word_length,sentence_count,average_sentence_length,flesch_reading_ease,flesch_kincaid_grade,gunning_fog,smog_index,difficult_words,difficult_word_ratio,grade,source
147,1019,5.578231292517007,7,21.0,15.580000000000041,16.196746031746034,19.8952380952381,17.288020509699884,52,0.35374149659863946,16.725,arxiv
131,859,5.458015267175573,4,32.75,7.798750000000041,20.121250000000007,22.8,19.287186520377343,44,0.33587786259541985,18.105,arxiv
82,538,5.512195121951219,4,20.5,24.392361111111114,14.887746913580251,18.47037037037037,16.218646115125612,26,0.3170731707317073,15.415,arxiv
124,651,3.870967741935484,16,7.75,92.76750000000001,2.1833333333333336,3.6666666666666665,6.322622252153568,6,0.04838709677419355,3.325,tinystories
74,470,5.256756756756757,4,18.5,29.541386986301376,13.672705479452055,16.615068493150684,15.247664890283005,19,0.25675675675675674,13.8875,arxiv
143,1045,6.0,6,23.833333333333332,8.301050228310515,18.146575342465756,22.062100456621007,18.946978176291534,57,0.3986013986013986,18.05,fineweb-edu
163,820,3.7607361963190185,16,10.1875,91.92956957547173,2.905750786163523,3.975,6.322622252153568,4,0.024539877300613498,3.795,tinystories
211,1473,5.890995260663507,7,30.142857142857142,9.182623762376267,19.147454031117395,21.839886845827444,19.430816780756558,67,0.3175355450236967,19.39,arxiv
57,360,4.666666666666667,3,19.0,60.09833333333333,9.348518518518521,12.385185185185186,11.855464076750408,16,0.2807017543859649,10.583333333333332,arxiv
33,193,4.696969696969697,2,16.5,57.70352941176472,9.434117647058823,10.329411764705883,10.125756701596842,11,0.3333333333333333,8.9,wikipedia-en
86,607,6.011627906976744,4,21.5,9.438810240963846,17.09768072289157,22.757831325301208,18.7741,37,0.43023255813953487,18.8,arxiv
136,807,4.742647058823529,6,22.666666666666668,32.56333333333333,14.100000000000005,19.435897435897438,17.122413403193683,30,0.22058823529411764,14.16,arxiv
218,1133,3.9541284403669725,18,12.11111111111111,89.21544132917965,3.7690965732087243,5.316303219106958,6.42735559955562,12,0.05504587155963303,5.17,tinystories
125,623,3.704,13,9.615384615384615,94.53576923076926,2.3666666666666636,4.358974358974359,6.297961479604793,7,0.056,3.528636363636364,tinystories
152,997,5.1118421052631575,8,19.0,45.1297995283019,11.902130503144658,15.497169811320754,14.37465228746014,48,0.3157894736842105,13.2,fineweb-edu
178,896,3.859550561797753,19,9.368421052631579,88.88116859946476,3.1764912280701765,5.308236693428487,7.060881637134146,15,0.08426966292134831,3.725,tinystories
193,1195,5.036269430051814,11,17.545454545454547,42.01466467958275,11.532061599602585,14.960556383507203,13.88584557914918,62,0.32124352331606215,13.0,arxiv
87,533,4.896551724137931,5,17.4,56.302818181818196,9.778545454545455,11.585454545454546,11.979248473330827,22,0.25287356321839083,10.795,wikipedia-en
74,503,5.594594594594595,3,24.666666666666668,22.41166666666669,15.930000000000003,20.19047619047619,17.879347455551382,29,0.3918918918918919,18.116666666666667,arxiv
110,763,5.827272727272727,4,27.5,9.034672330097123,18.39618932038835,22.72718446601942,19.287186520377343,44,0.4,19.2,arxiv
187,1112,4.7005347593582885,12,15.583333333333334,63.69500000000001,8.350000000000005,10.358333333333334,11.038039088145766,33,0.17647058823529413,9.19,fineweb-edu
259,1582,4.984555984555985,12,21.583333333333332,55.25146879021881,10.91475868725869,13.112097812097813,12.311054993355175,62,0.23938223938223938,11.895,fineweb-edu
190,983,3.957894736842105,16,11.875,91.82352439839575,3.3552907754010697,4.888903743315509,6.322622252153568,4,0.021052631578947368,4.758333333333333,tinystories
139,713,4.0,10,13.9,86.15843478260871,4.670260869565219,5.809855072463769,6.2581,6,0.04316546762589928,5.5,tinystories
162,837,3.9074074074074074,20,8.1,89.05067721518989,2.8011265822784814,3.16,5.683917801722854,5,0.030864197530864196,2.93,tinystories
236,1712,5.686440677966102,9,26.22222222222222,7.554761904761932,18.581904761904763,21.175757575757576,18.599290044081553,86,0.3644067796610169,18.33,arxiv
63,451,6.0476190476190474,3,21.0,12.016041666666695,16.883125000000003,20.40833333333333,17.5058628484301,27,0.42857142857142855,16.516666666666666,arxiv
272,1683,5.102941176470588,15,18.133333333333333,45.24295597484277,11.337735849056607,13.255345911949687,13.023866798666859,61,0.22426470588235295,12.45,fineweb-edu
29,163,4.586206896551724,2,14.5,66.67612068965518,7.561551724137935,9.937931034482759,10.125756701596842,7,0.2413793103448276,7.215,wikipedia-en
221,1448,5.266968325791855,12,18.416666666666668,40.123333333333335,12.134629629629629,14.051851851851854,13.427899808715576,49,0.22171945701357465,13.45,fineweb-edu
100,518,3.93,10,10.0,83.98650000000004,4.004333333333335,4.768080808080809,7.554174236665414,7,0.07,4.41,tinystories
183,1126,5.065573770491803,9,20.333333333333332,42.88519125683061,12.329071038251367,15.127868852459017,14.06817628641468,45,0.2459016393442623,12.445,arxiv
207,1277,5.048309178743962,9,23.0,41.90398009950252,12.962786069651738,16.4955223880597,15.021129683784007,56,0.27053140096618356,13.95,fineweb-edu
115,675,4.660869565217391,4,28.75,42.65394230769235,14.576474358974362,17.853846153846156,15.247664890283005,26,0.22608695652173913,15.54,arxiv
196,937,3.5255102040816326,17,11.529411764705882,98.8687770897833,2.245665634674925,4.470588235294118,3.1291,10,0.05102040816326531,2.875,tinystories
118,725,5.059322033898305,6,19.666666666666668,46.04250000000002,11.681666666666668,16.005128205128205,14.790194502661404,32,0.2711864406779661,13.085,arxiv
102,670,5.509803921568627,5,20.4,26.083454545454543,14.540080808080813,18.021010101010102,16.404322709996244,39,0.38235294117647056,15.68,arxiv
59,364,4.983050847457627,3,19.666666666666668,52.585000000000036,10.893333333333334,14.0,13.023866798666859,16,0.2711864406779661,12.116666666666667,wikipedia-en
168,960,4.315476190476191,11,15.272727272727273,84.39425269645609,5.485454545454548,7.340318438623523,7.348242739294969,19,0.1130952380952381,6.95,fineweb-edu
110,786,6.0636363636363635,4,27.5,-5.436666666666639,20.725185185185186,25.244444444444447,20.967144525676016,49,0.44545454545454544,20.625,arxiv
84,531,5.107142857142857,4,21.0,37.46164634146342,13.126951219512197,16.98048780487805,15.247664890283005,27,0.32142857142857145,14.1,arxiv
303,1834,4.8250825082508255,18,16.833333333333332,54.09794294294298,9.799009009009012,12.253453453453453,12.261556223090622,66,0.21782178217821782,10.85,fineweb-edu
23,123,4.304347826086956,2,11.5,70.10163043478265,6.3384782608695645,4.6000000000000005,8.841846274778883,7,0.30434782608695654,4.8,wikipedia-en
156,809,3.923076923076923,11,14.181818181818182,84.27665071770336,4.937248803827753,6.316746411483254,7.348242739294969,13,0.08333333333333333,5.775,tinystories
216,1482,5.777777777777778,9,24.0,5.594013499480809,18.38613707165109,20.352232606438214,17.879347455551382,64,0.2962962962962963,17.240000000000002,arxiv
122,626,3.7704918032786887,17,7.176470588235294,93.09134453781516,2.013949579831934,3.1361344537815126,4.514644488427479,5,0.040983606557377046,2.5357142857142856,tinystories
51,291,4.588235294117647,3,17.0,55.21529411764709,9.781176470588235,9.937254901960785,10.504223727775692,17,0.3333333333333333,8.65,wikipedia-en
107,671,4.869158878504673,7,15.285714285714286,59.9182142857143,8.876785714285713,12.114285714285714,11.765960540728905,30,0.2803738317757009,10.418333333333331,wikipedia-en
108,741,3.6666666666666665,7,15.428571428571429,65.4106796116505,7.791289875173373,8.992510402219139,9.236282656511921,28,0.25925925925925924,8.188333333333333,arxiv
